Dataset Size,Batch Size,Execution Time (s),Throughput (images/sec),CPU Before,CPU After
100,1,7.628917932510376,13.108018841552008,20.6,0.0
100,2,0.43561482429504395,229.56059900355808,93.9,0.0
100,4,0.3801760673522949,263.03602090589715,77.7,66.7
100,8,0.3921980857849121,254.97319753580248,79.6,0.0
200,1,0.6634464263916016,301.4561418135506,80.2,0.0
200,2,0.6204659938812256,322.3383746608449,77.1,0.0
200,4,0.6350278854370117,314.94679932419746,85.4,0.0
200,8,0.5973355770111084,334.8201709343033,84.2,0.0
400,1,1.0429291725158691,383.53515324063255,75.6,0.0
400,2,1.1380422115325928,351.4808114729972,85.5,0.0
400,4,1.0666444301605225,375.0078176846644,91.8,66.7
400,8,1.051356315612793,380.4609284787111,88.6,0.0
1000,1,2.5254693031311035,395.9660086781453,84.9,0.0
1000,2,2.344205379486084,426.5837834649233,90.4,0.0
1000,4,2.331559181213379,428.8975412065607,93.5,75.0
1000,8,2.1466169357299805,465.8493014544018,91.7,0.0
2000,1,9.661674737930298,207.0034496346992,90.4,0.0
2000,2,8.328245639801025,240.14661508564524,46.8,0.0
2000,4,8.058655261993408,248.1803644626033,56.4,50.0
2000,8,7.5667548179626465,264.31410137040774,64.2,66.7
5000,1,9.167585372924805,545.3998841141756,60.0,0.0
5000,2,7.981195449829102,626.4725668517569,58.3,0.0
5000,4,8.064292907714844,620.01716172991,67.3,0.0
5000,8,7.960670471191406,628.0877996513392,64.8,0.0
10000,1,8.283739805221558,1207.1842229637173,64.5,0.0
10000,2,7.803668975830078,1281.4485123564966,65.6,50.0
10000,4,7.7011473178863525,1298.507818020106,62.1,0.0
10000,8,7.8916099071502686,1267.168564799358,65.4,0.0
